T1,T2,S1,S2,A_FT1,A_FT2,A_G,A_W,A_D,A_L,A_GP,A_GM,A_GD,A_P2PA,A_P2PB,A_Perc,A_PP,A_P3P,B_FT1,B_FT2,B_G,B_W,B_D,B_L,B_GP,B_GM,B_GD,B_P2PA,B_P2PB,B_Perc,B_PP,B_P3P
Belarus,Kyrgyzstan,3,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Wales,Macedonia,1,2,1,-14,5,1,3,1,4,4,0,5,5,500,5,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cyprus,Norway,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,-4,8,2,3,3,7,8,-1,7,9,438,9,9
Malta,Denmark,1,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,-1,16,8,2,6,27,24,3,18,14,563,23,26
Ukraine,San Marino,9,0,1,-2,5,2,1,2,5,7,-2,5,5,500,7,7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Hungary,Romania,0,3,9,-7,32,15,3,14,87,57,30,33,31,516,33,48,7,-4,21,8,5,8,30,32,-2,21,21,500,26,29
Turkey,Andorra,5,0,2,-3,10,5,1,4,20,17,3,11,9,550,15,16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Slovakia,Bosnia & Herzegovina,1,0,1,-1,4,1,1,2,5,7,-2,3,5,375,4,4,1,1,3,1,0,2,4,4,0,2,4,333,3,3
Lithuania,Latvia,1,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Georgia,France,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14,5,59,29,11,19,106,71,35,69,49,585,83,98
Iceland,Switzerland,4,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,3,33,11,6,16,45,59,-14,28,38,424,34,39
Albania,Slovenia,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,-1,6,1,1,4,5,10,-5,3,9,250,4,4
Finland,Spain,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14,10,59,29,12,18,92,66,26,70,48,593,86,99
Estonia,Netherlands,2,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,3,50,27,11,12,86,48,38,65,35,650,84,92
Serbia,Croatia,1,1,11,-1,43,17,8,18,64,59,5,42,44,488,45,59,4,1,16,7,2,7,21,17,4,16,16,500,23,23
Italy,Bulgaria,1,0,18,14,83,45,20,18,128,77,51,110,56,663,124,155,7,-4,26,3,8,15,22,53,-31,14,38,269,17,17
Portugal,North. Ireland,4,2,6,4,26,13,4,9,43,29,14,30,22,577,37,43,3,-7,13,3,5,5,13,23,-10,11,15,423,11,14
Greece,Liechtenstein,1,0,3,2,10,2,2,6,5,20,-15,6,14,300,8,8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Montenegro,Poland,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7,-2,31,15,5,11,44,40,4,35,27,565,37,50
Germany,Austria,3,0,18,16,106,66,20,20,224,121,103,152,60,717,179,218,7,-4,29,12,4,13,43,47,-4,28,30,483,28,40
Sweden,Rep. of Ireland,2,1,11,-2,46,16,13,17,74,69,5,45,47,489,50,61,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belgium,Scotland,2,0,12,1,41,14,9,18,52,66,-14,37,45,451,44,51,8,-4,23,4,7,12,25,41,-16,15,31,326,15,19
Moldova,England,0,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14,5,62,26,19,17,79,56,23,71,53,573,79,97
Israel,Azerbaijan,1,1,1,-11,3,0,2,1,1,3,-2,2,4,333,2,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Israel,Russia,1,3,1,-11,3,0,2,1,1,3,-2,2,4,333,2,2,10,1,40,17,8,15,66,47,19,42,38,525,44,59
Lithuania,Liechtenstein,2,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Armenia,Denmark,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,-1,16,8,2,6,27,24,3,18,14,563,23,26
Sweden,Kazakhstan,1,0,11,-2,46,16,13,17,74,69,5,45,47,489,50,61,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Norway,Switzerland,0,2,3,-4,8,2,3,3,7,8,-1,7,9,438,9,9,10,3,33,11,6,16,45,59,-14,28,38,424,34,39
Finland,Georgia,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Malta,Bulgaria,1,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7,-4,26,3,8,15,22,53,-31,14,38,269,17,17
Romania,Turkey,0,2,7,-4,21,8,5,8,30,32,-2,21,21,500,26,29,2,-3,10,5,1,4,20,17,3,11,9,550,15,16
North. Ireland,Luxembourg,2,3,3,-7,13,3,5,5,13,23,-10,11,15,423,11,14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bosnia & Herzegovina,Slovakia,2,1,1,1,3,1,0,2,4,4,0,2,4,333,3,3,1,-1,4,1,1,2,5,7,-2,3,5,375,4,4
Hungary,Estonia,5,1,9,-7,32,15,3,14,87,57,30,33,31,516,33,48,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Andorra,Netherlands,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,3,50,27,11,12,86,48,38,65,35,650,84,92
Serbia,Wales,3,0,11,-1,43,17,8,18,64,59,5,42,44,488,45,59,1,-14,5,1,3,1,4,4,0,5,5,500,5,6
Scotland,Macedonia,2,1,8,-4,23,4,7,12,25,41,-16,15,31,326,15,19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Italy,Czech Republic,2,1,18,14,83,45,20,18,128,77,51,110,56,663,124,155,9,-2,33,12,5,16,47,49,-2,29,37,439,30,41
Slovenia,Cyprus,2,0,2,-1,6,1,1,4,5,10,-5,3,9,250,4,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Latvia,Greece,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,2,10,2,2,6,5,20,-15,6,14,300,8,8
Poland,San Marino,5,1,7,-2,31,15,5,11,44,40,4,35,27,565,37,50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ukraine,England,0,0,1,-2,5,2,1,2,5,7,-2,5,5,500,7,7,14,5,62,26,19,17,79,56,23,71,53,573,79,97
Austria,Rep. of Ireland,1,0,7,-4,29,12,4,13,43,47,-4,28,30,483,28,40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Faroe Islands,Germany,0,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18,16,106,66,20,20,224,121,103,152,60,717,179,218
Iceland,Albania,2,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
France,Belarus,4,2,14,5,59,29,11,19,106,71,35,69,49,585,83,98,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Spain,Chile,2,2,14,10,59,29,12,18,92,66,26,70,48,593,86,99,9,2,33,11,7,15,40,49,-9,29,37,439,33,40
Portugal,Brazil,1,3,6,4,26,13,4,9,43,29,14,30,22,577,37,43,20,20,104,71,16,17,221,102,119,158,50,760,185,229
South Korea,Croatia,1,2,9,8,31,5,9,17,31,67,-36,19,43,306,24,24,4,1,16,7,2,7,21,17,4,16,16,500,23,23
Bulgaria,Armenia,1,2,7,-4,26,3,8,15,22,53,-31,14,38,269,17,17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Latvia,Lithuania,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belgium,Croatia,2,1,12,1,41,14,9,18,52,66,-14,37,45,451,44,51,4,1,16,7,2,7,21,17,4,16,16,500,23,23
North. Ireland,Azerbaijan,0,2,3,-7,13,3,5,5,13,23,-10,11,15,423,11,14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Moldova,San Marino,3,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Faroe Islands,Kazakhstan,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Serbia,Japan,2,0,11,-1,43,17,8,18,64,59,5,42,44,488,45,59,5,5,17,4,4,9,14,22,-8,12,22,353,16,16
Czech Republic,Malta,4,1,9,-2,33,12,5,16,47,49,-2,29,37,439,30,41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ukraine,Poland,1,0,1,-2,5,2,1,2,5,7,-2,5,5,500,7,7,7,-2,31,15,5,11,44,40,4,35,27,565,37,50
Denmark,Italy,2,2,4,-1,16,8,2,6,27,24,3,18,14,563,23,26,18,14,83,45,20,18,128,77,51,110,56,663,124,155
Switzerland,Albania,2,1,10,3,33,11,6,16,45,59,-14,28,38,424,34,39,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Russia,Luxembourg,4,0,10,1,40,17,8,15,66,47,19,42,38,525,44,59,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Hungary,Netherlands,1,8,9,-7,32,15,3,14,87,57,30,33,31,516,33,48,10,3,50,27,11,12,86,48,38,65,35,650,84,92
Estonia,Turkey,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,-3,10,5,1,4,20,17,3,11,9,550,15,16
Romania,Andorra,4,0,7,-4,21,8,5,8,30,32,-2,21,21,500,26,29,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Wales,Macedonia,1,0,1,-14,5,1,3,1,4,4,0,5,5,500,5,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Slovenia,Norway,3,0,2,-1,6,1,1,4,5,10,-5,3,9,250,4,4,3,-4,8,2,3,3,7,8,-1,7,9,438,9,9
Cyprus,Iceland,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Slovakia,Greece,0,1,1,-1,4,1,1,2,5,7,-2,3,5,375,4,4,3,2,10,2,2,6,5,20,-15,6,14,300,8,8
Germany,Rep. of Ireland,3,0,18,16,106,66,20,20,224,121,103,152,60,717,179,218,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Austria,Sweden,1,2,7,-4,29,12,4,13,43,47,-4,28,30,483,28,40,11,-2,46,16,13,17,74,69,5,45,47,489,50,61
Montenegro,England,1,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14,5,62,26,19,17,79,56,23,71,53,573,79,97
France,Australia,6,0,14,5,59,29,11,19,106,71,35,69,49,585,83,98,4,3,13,2,3,8,11,26,-15,7,19,269,9,9
Bosnia & Herzegovina,Liechtenstein,4,1,1,1,3,1,0,2,4,4,0,2,4,333,3,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Portugal,Israel,1,1,6,4,26,13,4,9,43,29,14,30,22,577,37,43,1,-11,3,0,2,1,1,3,-2,2,4,333,2,2
Belarus,Spain,1,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14,10,59,29,12,18,92,66,26,70,48,593,86,99
Belarus,Japan,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5,5,17,4,4,9,14,22,-8,12,22,353,16,16
Cyprus,Albania,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
North. Ireland,Israel,1,1,3,-7,13,3,5,5,13,23,-10,11,15,423,11,14,1,-11,3,0,2,1,1,3,-2,2,4,333,2,2
Luxembourg,Portugal,0,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6,4,26,13,4,9,43,29,14,30,22,577,37,43
Azerbaijan,Russia,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,1,40,17,8,15,66,47,19,42,38,525,44,59
Lithuania,Bosnia & Herzegovina,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,3,1,0,2,4,4,0,2,4,333,3,3
Greece,Liechtenstein,2,0,3,2,10,2,2,6,5,20,-15,6,14,300,8,8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Slovenia,Switzerland,0,1,2,-1,6,1,1,4,5,10,-5,3,9,250,4,4,10,3,33,11,6,16,45,59,-14,28,38,424,34,39
Norway,Iceland,1,1,3,-4,8,2,3,3,7,8,-1,7,9,438,9,9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Netherlands,Turkey,2,0,10,3,50,27,11,12,86,48,38,65,35,650,84,92,2,-3,10,5,1,4,20,17,3,11,9,550,15,16
Hungary,Andorra,2,0,9,-7,32,15,3,14,87,57,30,33,31,516,33,48,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Estonia,Romania,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7,-4,21,8,5,8,30,32,-2,21,21,500,26,29
Denmark,Malta,6,0,4,-1,16,8,2,6,27,24,3,18,14,563,23,26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bulgaria,Czech Republic,0,1,7,-4,26,3,8,15,22,53,-31,14,38,269,17,17,9,-2,33,12,5,16,47,49,-2,29,37,439,30,41
Latvia,Slovakia,2,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,-1,4,1,1,2,5,7,-2,3,5,375,4,4
Serbia,Macedonia,5,1,11,-1,43,17,8,18,64,59,5,42,44,488,45,59,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Italy,Armenia,2,2,18,14,83,45,20,18,128,77,51,110,56,663,124,155,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Germany,Sweden,5,3,18,16,106,66,20,20,224,121,103,152,60,717,179,218,11,-2,46,16,13,17,74,69,5,45,47,489,50,61
Rep. of Ireland,Kazakhstan,3,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Austria,Faroe Islands,3,0,7,-4,29,12,4,13,43,47,-4,28,30,483,28,40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belgium,Wales,1,1,12,1,41,14,9,18,52,66,-14,37,45,451,44,51,1,-14,5,1,3,1,4,4,0,5,5,500,5,6
Scotland,Croatia,2,0,8,-4,23,4,7,12,25,41,-16,15,31,326,15,19,4,1,16,7,2,7,21,17,4,16,16,500,23,23
Montenegro,Moldova,2,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
San Marino,Ukraine,0,8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,-2,5,2,1,2,5,7,-2,5,5,500,7,7
Poland,England,0,2,7,-2,31,15,5,11,44,40,4,35,27,565,37,50,14,5,62,26,19,17,79,56,23,71,53,573,79,97
Georgia,Spain,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14,10,59,29,12,18,92,66,26,70,48,593,86,99
Finland,France,0,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14,5,59,29,11,19,106,71,35,69,49,585,83,98
Colombia,Belgium,2,0,5,1,18,7,2,9,26,27,-1,16,20,444,22,23,12,1,41,14,9,18,52,66,-14,37,45,451,44,51
Switzerland,South Korea,1,2,10,3,33,11,6,16,45,59,-14,28,38,424,34,39,9,8,31,5,9,17,31,67,-36,19,43,306,24,24
Czech Republic,Canada,2,0,9,-2,33,12,5,16,47,49,-2,29,37,439,30,41,1,-7,3,0,0,3,0,5,-5,0,6,0,0,0
Belarus,Albania,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Russia,Serbia,1,1,10,1,40,17,8,15,66,47,19,42,38,525,44,59,11,-1,43,17,8,18,64,59,5,42,44,488,45,59
Azerbaijan,Estonia,1,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Denmark,Norway,2,1,4,-1,16,8,2,6,27,24,3,18,14,563,23,26,3,-4,8,2,3,3,7,8,-1,7,9,438,9,9
Iceland,Croatia,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,1,16,7,2,7,21,17,4,16,16,500,23,23
Turkey,North. Ireland,1,0,2,-3,10,5,1,4,20,17,3,11,9,550,15,16,3,-7,13,3,5,5,13,23,-10,11,15,423,11,14
Portugal,Sweden,1,0,6,4,26,13,4,9,43,29,14,30,22,577,37,43,11,-2,46,16,13,17,74,69,5,45,47,489,50,61
Poland,Slovakia,0,2,7,-2,31,15,5,11,44,40,4,35,27,565,37,50,1,-1,4,1,1,2,5,7,-2,3,5,375,4,4
Latvia,Rep. of Ireland,0,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Germany,Italy,1,1,18,16,106,66,20,20,224,121,103,152,60,717,179,218,18,14,83,45,20,18,128,77,51,110,56,663,124,155
France,Ukraine,0,2,14,5,59,29,11,19,106,71,35,69,49,585,83,98,1,-2,5,2,1,2,5,7,-2,5,5,500,7,7
Romania,Greece,1,3,7,-4,21,8,5,8,30,32,-2,21,21,500,26,29,3,2,10,2,2,6,5,20,-15,6,14,300,8,8
Scotland,United States,0,0,8,-4,23,4,7,12,25,41,-16,15,31,326,15,19,10,7,33,8,6,19,37,62,-25,22,44,333,27,30
Chile,England,2,0,9,2,33,11,7,15,40,49,-9,29,37,439,33,40,14,5,62,26,19,17,79,56,23,71,53,573,79,97
Netherlands,Japan,2,2,10,3,50,27,11,12,86,48,38,65,35,650,84,92,5,5,17,4,4,9,14,22,-8,12,22,353,16,16
Wales,Finland,1,1,1,-14,5,1,3,1,4,4,0,5,5,500,5,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Spain,Equatorial Guinea,2,1,14,10,59,29,12,18,92,66,26,70,48,593,86,99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Luxembourg,Montenegro,1,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Moldova,Lithuania,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Italy,Nigeria,2,2,18,14,83,45,20,18,128,77,51,110,56,663,124,155,5,2,18,5,3,10,20,26,-6,13,23,361,18,18
Argentina,Bosnia & Herzegovina,2,0,16,11,77,43,13,21,131,84,47,99,55,643,118,142,1,1,3,1,0,2,4,4,0,2,4,333,3,3
Liechtenstein,Estonia,0,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
South Korea,Russia,1,2,9,8,31,5,9,17,31,67,-36,19,43,306,24,24,10,1,40,17,8,15,66,47,19,42,38,525,44,59
Azerbaijan,Kyrgyzstan,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Canada,Slovenia,0,1,1,-7,3,0,0,3,0,5,-5,0,6,0,0,0,2,-1,6,1,1,4,5,10,-5,3,9,250,4,4
Norway,Scotland,0,1,3,-4,8,2,3,3,7,8,-1,7,9,438,9,9,8,-4,23,4,7,12,25,41,-16,15,31,326,15,19
Faroe Islands,Malta,2,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
